CATEGORY|DATE|BANK_NAME|ATM_CRM_ONSITE_NOS|ATM_CRM_OFFSITE_NOS|POS_NOS|MICRO_ATM_NOS|BHARAT_QR_CODES_NOS|UPI_QR_CODES_NOS|CREDIT_CARDS_NOS|DEBIT_CARDS_NOS|CREDIT_CARD_POS_TXN_VOLUME_NOS|CREDIT_CARD_POS_TXN_VALUE_AMT|CREDIT_CARD_ECOM_VOLUME_NOS|CREDIT_CARD_ECOM_VALUE_AMT|CREDIT_CARD_OTHERS_VOLUME_NOS|CREDIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS|CASH_WITHDRAWAL_ATM_VALUE_AMT|DEBIT_CARD_POS_TXN_VOLUME_NOS|DEBIT_CARD_POS_TXN_VALUE_AMT|DEBIT_CARD_ECOM_VOLUME_NOS|DEBIT_CARD_ECOM_VALUE_AMT|DEBIT_CARD_OTHERS_VOLUME_NOS|DEBIT_CARD_OTHERS_VALUE_AMT|CASH_WITHDRAWAL_ATM_VOLUME_NOS.1|CASH_WITHDRAWAL_ATM_VALUE_AMT.1|CASH_WITHDRAWAL_POS_VOLUME_NOS|CASH_WITHDRAWAL_POS_VALUE_AMT
Public Sector Banks|2024-12-31|BANK OF BARODA|8395|2383|47037|44909|22566|2295417|2937896|87335032|6803577|13816827.617|3172968|16982669.74|0|0.0|13104|66327.0|3376422|8311973.62979|402051|2567196.02484|25|59.761|23739493|118048467.356|41|45.07445
Public Sector Banks|2024-12-31|BANK OF INDIA|5339|2897|18184|21901|0|1227145|73696|38747535|141428|616391.1657100001|66297|318384.75785999995|0|0.0|9719|57496.74169|2238721|4925169.59648|451900|990956.3126|0|0.0|15265108|63750510.962|267|266.05
Public Sector Banks|2024-12-31|BANK OF MAHARASHTRA|2173|243|1391|3773|355014|927987|31278|14022969|46320|213118.95312|19055|99470.37879999998|0|0.0|755|3744.0|1118280|2396277.77704|216929|623367.3874400001|5588|62019.97904|6086661|28403102.24072|0|0.0
Public Sector Banks|2024-12-31|CANARA BANK|8217|3809|74536|13177|0|3344640|997943|59396108|1114470|4372177.4162|469173|2707241.43315|0|0.0|103464|581758.2|5852115|16562919.99313|914454|3890116.71318|4172|73508.6665|30969820|149324313.711|75|63.856
Public Sector Banks|2024-12-31|CENTRAL BANK OF INDIA|2857|1144|3344|2755|34434|1959821|0|28178425|0|0.0|0|0.0|0|0.0|0|0.0|1462407|3636025.78773|193709|685350.2013000007|0|0.0|8659061|40488347.606|3538|3625.786
Public Sector Banks|2024-12-31|INDIAN BANK|4617|607|20921|13292|0|2867071|282514|33020751|511580|2419444.56242|269017|1347318.5856999997|0|0.0|4777|36844.211|3272571|7844306.04024|559298|1339330.658|158|494.261|19223516|91525693.2429|1479|1489.356
Public Sector Banks|2024-12-31|INDIAN OVERSEAS BANK|2764|737|0|0|0|434804|65086|20478463|79359|250667.49044|25487|100884.97814|0|0.0|2658|13562.6|2278214|5157938.86123|391387|953458.64052|0|0.0|12214319|51422875.81128|0|0.0
Public Sector Banks|2024-12-31|PUNJAB AND SIND BANK|1016|27|958|1665|1104|163637|0|3480941|0|0.0|0|0.0|0|0.0|0|0.0|296211|777892.69733|90694|240432.96924|0|0.0|1397823|6935194.8|0|0.0
Public Sector Banks|2024-12-31|PUNJAB NATIONAL BANK|7826|4208|34302|0|675513|708854|574560|41015342|370982|1627719.70484|270780|1563233.30166|2|70.0|7839|24790.31961|4107211|10857167.01678|1123656|2975134.71932|0|0.0|24874549|128392112.02512|0|0.0
Public Sector Banks|2024-12-31|STATE BANK OF INDIA|26468|37646|1480273|46525|970920|4584539|20246942|240315298|27523011|112074000.4917801|44953793|170060839.65153|0|0.0|141564|588194.50252|31287368|78587115.604|6488176|19458960.03425|843|11914.66517|159324615|846159589.06|16657|15313.58894
Public Sector Banks|2024-12-31|UCO BANK|2254|223|10860|3568|241|1221759|0|12454245|0|0.0|0|0.0|0|0.0|0|0.0|874446|2273536.33153|288847|714244.4531599999|594|8358.22508|6352610|30228287.33468|218|203.39737
Public Sector Banks|2024-12-31|UNION BANK OF INDIA|5557|1206|49500|8005|304258|287913|551230|60574547|573594|2493392.44496|1566213|3206908.73456|0|0.0|10014|43376.68329|4576671|10630461.73038|1723015|3843063.8625|2943|11100.84676|44069604|133559126.823|995|6005.093
Private Sector Banks|2024-12-31|AXIS BANK LTD|6505|7955|1967973|369|638542|96258045|14796963|39115004|35996726|98352742.18356006|26895979|118029642.54504947|0|0.0|77237|382768.25|4718597|16430296.19159|1984668|10910411.224880004|12240|320208.837|17753468|114970138.99113|0|0.0
Private Sector Banks|2024-12-31|BANDHAN BANK LTD|433|5|65860|0|19523|0|0|6085747|0|0.0|0|0.0|0|0.0|0|0.0|244955|812352.78144|76980|400773.4571|0|0.0|2361386|13046398.856|8|5.3
Private Sector Banks|2024-12-31|CITY UNION BANK LTD.|1170|523|7302|92325|0|81930|26844|2963830|50134|226149.9449100076|21729|241970.38463999852|0|0.0|248|1418.7|471838|1333532.18041|34791|121217.37559|0|0.0|2378022|13297318.80038|0|0.0
Private Sector Banks|2024-12-31|CSB BANK LTD.|737|40|0|0|16412|0|153576|906711|280338|799121.69081|1535641|1642650.05174|0|0.0|0|0.0|160077|360314.97235|9811|40211.7214|0|0.0|445332|2246526.2|3|6.0
Private Sector Banks|2024-12-31|DCB BANK LTD|425|5|8012|0|17395|0|41|821559|43|116.79601|18|27.56469|0|0.0|2|1.5|80717|266740.56297|46796|162990.65161|279|7609.297|284603|1637803.278|0|0.0
